City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
619,Itarema,BR,80.19,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
620,Basco,PH,79.72,clear sky,20.4487,121.9702,Nathaniel's Lodge
621,Samarai,PG,83.07,scattered clouds,-10.6167,150.6667,Nuli Sapi
624,Piacabucu,BR,78.82,scattered clouds,-10.4056,-36.4344,Piaçabuçu News
625,Simbahan,PH,83.26,scattered clouds,6.3032,120.5836,
626,Acapulco,MX,85.82,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
628,Florida,US,76.98,overcast clouds,28.7505,-82.5001,Sportsmens Cove
629,Inirida,CO,73.49,heavy intensity rain,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
632,Buchanan,LR,78.76,few clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
633,Wewak,PG,78.37,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
634,Kodumudi,IN,73.09,few clouds,11.0775,77.8836,Aadvin Hotel
638,Barra,BR,83.01,scattered clouds,-11.0894,-43.1417,Motel Albatroz
639,Cacoal,BR,78.13,broken clouds,-11.4386,-61.4472,Hotel BR 364
640,Hirara,JP,70.07,few clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
641,Vargem Grande Do Sul,BR,72.61,broken clouds,-21.8322,-46.8936,Edícula Charmosa com Piscina e Jardim em Condomínio Fechado
645,Iracoubo,GF,79.12,light rain,5.4802,-53.2011,Le Gîte d’Iracoubo
647,Neiafu,TO,84.88,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
648,Miri,MY,75.36,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
649,Thai Binh,VN,73.4,broken clouds,20.45,106.3333,Sweden Hotel
650,Ambagarh Chauki,IN,75.25,overcast clouds,20.7833,80.7167,Hunesh kunjam home ....
653,Camopi,GF,76.98,overcast clouds,3.1655,-52.3158,La pousada
654,Saint-Joseph,RE,71.98,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
657,Dickinson,US,79.27,broken clouds,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
659,Ati,TD,80.87,scattered clouds,13.2154,18.3353,
