City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
171,Teahupoo,PF,-17.8333,-149.2667,80.56,68,13,6.22,few clouds
172,Padang,ID,-0.9492,100.3543,77.52,84,100,5.26,overcast clouds
173,Pangnirtung,CA,66.1451,-65.7125,8.6,78,20,0.0,few clouds
174,Challapata,BO,-18.9,-66.7667,63.1,30,76,21.92,broken clouds
175,Wanaka,NZ,-44.7,169.15,55.78,77,93,0.94,overcast clouds
176,Puerto Madryn,AR,-42.7692,-65.0385,56.88,79,100,10.07,light rain
177,Ribeira Grande,PT,38.5167,-28.7,66.6,72,75,21.85,broken clouds
178,Burnie,AU,-41.0667,145.9167,62.94,54,97,2.57,overcast clouds
179,Sola,VU,-13.8833,167.55,81.27,94,40,0.0,scattered clouds
180,Kommunisticheskiy,RU,61.6789,64.4819,21.33,97,100,3.51,light snow
181,Pacific Grove,US,36.6177,-121.9166,77.58,47,0,1.99,clear sky
182,Fort Nelson,CA,58.8053,-122.7002,-0.81,85,90,3.44,overcast clouds
183,Kahului,US,20.8947,-156.47,84.97,64,1,12.66,clear sky
184,Daru,PG,-9.0763,143.2092,83.75,76,87,10.49,overcast clouds
185,Marsa Matruh,EG,31.3525,27.2453,61.0,88,40,10.36,scattered clouds
186,Riyadh,SA,24.6877,46.7219,69.94,34,0,8.41,clear sky
187,Bichura,RU,50.5881,107.6022,1.54,87,70,2.95,broken clouds
188,Cabo San Lucas,MX,22.8909,-109.9124,83.61,62,76,3.58,broken clouds
189,Sitka,US,57.0531,-135.33,44.49,81,90,21.85,light rain
190,Borovskoy,KZ,53.8,64.15,31.35,96,100,19.08,light snow
191,Talnakh,RU,69.4865,88.3972,-19.89,81,13,9.13,few clouds
192,Pelym,RU,61.0108,61.9978,19.98,98,100,2.48,light snow
193,Telemaco Borba,BR,-24.3239,-50.6156,66.87,65,3,2.55,clear sky
194,Karaton,ID,-6.3424,106.1045,81.95,93,94,3.56,overcast clouds
195,Nevers,FR,46.9167,3.3333,37.99,88,100,3.91,overcast clouds
196,Moose Factory,CA,51.2585,-80.6094,35.6,80,90,10.36,overcast clouds
197,Amahai,ID,-3.3333,128.9167,79.05,83,100,3.11,moderate rain
198,Severo-Kurilsk,RU,50.6789,156.125,37.58,86,93,10.67,overcast clouds
199,Muros,ES,42.7762,-9.0603,55.24,86,2,12.75,clear sky
